lang_pair,source_lang,target_lang,n_shards_in,n_shards_out,rows_total,rows_scored,rows_failed,mean_score,elapsed_sec
nor_Latn-lzh_Hani,nor_Latn,lzh_Hani,1,1,111851,111839,12,0.6737,1143.5
mar_Deva-ory_Orya,mar_Deva,ory_Orya,1,1,1584262,1584236,26,0.5652,36975.5
nor_Latn-mhr_Cyrl,nor_Latn,mhr_Cyrl,1,1,47913,47910,3,0.6616,648.7
ilo_Latn-jav_Latn,ilo_Latn,jav_Latn,1,1,193667,193573,94,0.4052,1988.8
nor_Latn-nno_Latn,nor_Latn,nno_Latn,1,1,59122,58710,412,0.4261,1103.4
ilo_Latn-mal_Mlym,ilo_Latn,mal_Mlym,1,1,67522,67522,0,0.1156,971.9
nor_Latn-oci_Latn,nor_Latn,oci_Latn,1,1,30799,30793,6,0.6845,580.4
asm_Beng-guj_Gujr,asm_Beng,guj_Gujr,1,1,527907,527828,79,0.3690,5807.2
mai_Deva-npi_Deva,mai_Deva,npi_Deva,1,1,230457,230443,14,0.3420,2690.8
ilo_Latn-mkd_Cyrl,ilo_Latn,mkd_Cyrl,1,1,64373,64367,6,0.2248,917.3
mai_Deva-oci_Latn,mai_Deva,oci_Latn,1,1,12914,12914,0,0.7425,150.5
nor_Latn-pus_Arab,nor_Latn,pus_Arab,1,1,45530,45520,10,0.5554,529.1
ilo_Latn-mlg_Latn,ilo_Latn,mlg_Latn,1,1,122193,122122,71,0.2966,1707.8
mai_Deva-sin_Sinh,mai_Deva,sin_Sinh,1,1,210935,210930,5,0.3264,2604.9
ilo_Latn-mri_Latn,ilo_Latn,mri_Latn,1,1,109807,109801,6,0.4230,1794.2
ory_Orya-tel_Telu,ory_Orya,tel_Telu,1,1,2230446,2230412,34,0.4913,68859.8
ilo_Latn-nor_Latn,ilo_Latn,nor_Latn,1,1,27050,27035,15,0.5874,594.2
mai_Deva-snd_Arab,mai_Deva,snd_Arab,1,1,115244,115236,8,0.2299,2051.2
und_Kana-mal_Mlym,und_Kana,mal_Mlym,1,1,56695,56695,0,0.1504,1471.1
epo_Latn-mkd_Cyrl,epo_Latn,mkd_Cyrl,1,1,993339,993280,59,0.6912,12288.8
ilo_Latn-pag_Latn,ilo_Latn,pag_Latn,1,1,139440,139384,56,0.5944,2143.0
und_Kana-nor_Latn,und_Kana,nor_Latn,1,1,69540,69523,17,0.7774,1902.0
epo_Latn-mlg_Latn,epo_Latn,mlg_Latn,1,1,115095,115093,2,0.4230,2023.9
und_Kana-sqi_Latn,und_Kana,sqi_Latn,1,1,49630,49627,3,0.6902,1766.5
epo_Latn-mya_Mymr,epo_Latn,mya_Mymr,1,1,59405,59403,2,0.8466,1499.8
asm_Beng-kan_Knda,asm_Beng,kan_Knda,1,1,628504,628492,12,0.4501,9736.1
asm_Beng-kin_Latn,asm_Beng,kin_Latn,1,1,35945,35945,0,0.2394,1044.6
ilo_Latn-plt_Latn,ilo_Latn,plt_Latn,1,1,250276,250255,21,0.4145,5398.2
