model,source_lang,target_lang,n_pairs,n_datasets,mean,std,min,max,p01,p05,p10,p25,p50,p75,p90,p95,p99
microsoft/harrier-oss-v1-0.6b,slv_Latn,heb_Hebr,1866,2,0.8997520208358765,0.03203090280294418,0.750189483165741,0.9834702610969543,0.805760857462883,0.8415899723768234,0.8565772175788879,0.8812190294265747,0.9037813544273376,0.9224364757537842,0.9371506571769714,0.94492506980896,0.9570615381002426
microsoft/harrier-oss-v1-0.6b,bjn_Latn,eng_Latn,1012,1,0.9022527933120728,0.037551719695329666,0.5732883810997009,0.9736934304237366,0.7934942388534546,0.8319264084100724,0.849764060974121,0.8846330493688583,0.9081881046295166,0.9276547282934189,0.9428914904594421,0.9516999542713165,0.9624232244491577
microsoft/harrier-oss-v1-0.6b,npi_Deva,zho_Hans,1012,1,0.875993549823761,0.03667684271931648,0.6342208385467529,0.9506576061248779,0.7612789356708527,0.8138724565505981,0.8313335418701172,0.8571194708347321,0.881033331155777,0.9005418419837952,0.916435956954956,0.9248043119907379,0.9380457353591919
microsoft/harrier-oss-v1-0.6b,bos_Latn,srd_Latn,1012,1,0.903816819190979,0.03460442274808884,0.7700525522232056,0.9704574942588806,0.7962006574869156,0.8384999185800552,0.8555692732334137,0.8855659365653992,0.90882807970047,0.9289791136980057,0.9423528373241424,0.9504483461380004,0.9623025381565093
microsoft/harrier-oss-v1-0.6b,jav_Latn,mkd_Cyrl,1866,2,0.8999846577644348,0.03380711376667023,0.7358909845352173,0.974102258682251,0.8047588348388672,0.8354876637458801,0.853423148393631,0.880159929394722,0.904491662979126,0.9240669310092926,0.9394978284835815,0.9466267377138138,0.9595623075962066
microsoft/harrier-oss-v1-0.6b,pan_Guru,rus_Cyrl,1866,2,0.897170901298523,0.033313341438770294,0.7390420436859131,0.9649633169174194,0.7930271059274674,0.8374709337949753,0.8546740412712097,0.8787207007408142,0.9019489288330078,0.9214635640382767,0.9356412589550018,0.9433228075504303,0.9545162051916122
microsoft/harrier-oss-v1-0.6b,amh_Ethi,eng_Latn,1866,2,0.8758251667022705,0.034007031470537186,0.7409464120864868,0.9579448699951172,0.7859975934028626,0.8158357292413712,0.8293704390525818,0.8542284667491913,0.8793790638446808,0.9000647962093353,0.9174457788467407,0.9255559891462326,0.9406885176897049
microsoft/harrier-oss-v1-0.6b,ind_Latn,spa_Latn,1866,2,0.9332317113876343,0.029522543773055077,0.6687467098236084,0.9893279075622559,0.8393156498670578,0.8769878298044205,0.8960739076137543,0.9203476309776306,0.9388024508953094,0.9529164880514145,0.9635574519634247,0.9691419750452042,0.9782432526350021
microsoft/harrier-oss-v1-0.6b,spa_Latn,mkd_Cyrl,1866,2,0.9176450967788696,0.031789615750312805,0.7031940221786499,0.9800981879234314,0.8208119571208954,0.8576024770736694,0.8762853741645813,0.9026825726032257,0.9228314757347107,0.9397130608558655,0.95201376080513,0.9588046222925186,0.9680275499820709
microsoft/harrier-oss-v1-0.6b,fra_Latn,hne_Deva,1866,2,0.9047238826751709,0.031217072159051895,0.6655797958374023,0.9698412418365479,0.8159462124109268,0.8486271053552628,0.8639467358589172,0.8873416930437088,0.9096570909023285,0.9268191754817963,0.9390506744384766,0.9459817409515381,0.9565164387226105
