lang_pair,source_lang,target_lang,model,MRR,n_rows_total,n_shards,data_mean,data_p05,data_p10,data_p50,gold_mean,gold_std,gold_q_value,gold_quantile,data_quantile,T_gold,T_data,T_raw,T_clipped,data_sanity_cap,T_keep_cap,T,eff_cap,gold_cap_value,confidence,has_benchmark,has_gold,kept_fraction_est
cym_Latn-als_Latn,cym_Latn,als_Latn,intfloat/multilingual-e5-large,0.9949899060333652,499967,1,0.9334572553634644,0.8486116290092468,0.8841189622879029,0.9432920217514038,0.9261067509651184,0.0288236532360315,0.8410360246896744,p01,p10,0.8410360246896744,0.8841189622879029,0.8841189622879029,0.8841189622879029,0.9432920217514038,0.8961986223856608,0.8841189622879029,0.9077992141246796,0.9077992141246796,high,True,True,0.9
cym_Latn-gle_Latn,cym_Latn,gle_Latn,intfloat/multilingual-e5-large,0.9903321461618284,532253,1,0.9300922155380248,0.8234800100326538,0.8696242094039917,0.9427077770233154,0.9289649724960328,0.0278383865952491,0.8532353281974793,p01,p10,0.8532353281974793,0.8696242094039917,0.8696242094039917,0.8696242094039917,0.9427077770233154,0.8858898162841796,0.8696242094039917,0.9124910980463028,0.9124910980463028,high,True,True,0.9
cym_Latn-jpn_Jpan,cym_Latn,jpn_Jpan,jinaai/jina-embeddings-v3,0.9546661934507946,967687,1,0.5325117111206055,0.2165429055690765,0.259523731470108,0.4937425255775451,0.7261943221092224,0.120498739182949,0.3235864639282226,p01,p10,0.3235864639282226,0.259523731470108,0.3035864639282226,0.3035864639282226,0.4937425255775451,0.2854525278011958,0.2854525278011958,0.6599111109972,0.6599111109972,mid,True,True,0.8499999999999999
cym_Latn-mal_Mlym,cym_Latn,mal_Mlym,intfloat/multilingual-e5-large,0.990331286431246,256767,1,0.8637208342552185,0.7496238112449646,0.767213237285614,0.8742713928222656,0.9112486839294434,0.0295859891921281,0.8325044333934783,p01,p10,0.8325044333934783,0.767213237285614,0.8325044333934783,0.8325044333934783,0.8742713928222656,0.7820539156595866,0.7820539156595866,0.8925189226865768,0.8925189226865768,high,True,True,0.8499999999999999
cym_Latn-pan_Guru,cym_Latn,pan_Guru,intfloat/multilingual-e5-large,0.9899452442660236,129162,1,0.8640692234039307,0.7663537412881851,0.7821307480335236,0.8660532236099243,0.90898460149765,0.0289302673190832,0.833281221985817,p01,p10,0.833281221985817,0.7821307480335236,0.813281221985817,0.813281221985817,0.8660532236099243,0.7928271094957987,0.7928271094957987,0.8908446133136749,0.8908446133136749,mid,True,True,0.8500000000000002
cym_Latn-srp_Latn,cym_Latn,srp_Latn,,,391682,1,0.8421686887741089,0.7157530426979065,0.7451626241207123,0.8509066104888916,,,,p01,p10,,0.7451626241207123,0.6776551818847656,0.6776551818847656,0.8509066104888916,0.7640861093997956,0.6776551818847656,0.95,,no_benchmark,False,False,0.99
cym_Latn-wln_Latn,cym_Latn,wln_Latn,,,35114,1,0.8510229587554932,0.7591767966747284,0.7733879268169404,0.8337221145629883,,,,p01,p10,,0.7733879268169404,0.7303449594974518,0.7303449594974518,0.8337221145629883,0.7815759201844533,0.7303449594974518,0.95,,no_benchmark,False,False,0.99
dan_Latn-ces_Latn,dan_Latn,ces_Latn,jinaai/jina-embeddings-v3,0.9951551522248244,936114,1,0.7853520512580872,0.3109984144568443,0.4293862551450729,0.8820985555648804,0.879871129989624,0.078149527311325,0.6106757014989853,p01,p10,0.6106757014989853,0.4293862551450729,0.6106757014989853,0.6106757014989853,0.8820985555648804,0.5218213776747386,0.5218213776747386,0.8456776589155197,0.8456776589155197,high,True,True,0.85
dan_Latn-fro_Latn,dan_Latn,fro_Latn,,,150581,1,0.8532880544662476,0.7426114082336426,0.7634108066558838,0.8548418283462524,,,,p01,p10,,0.7634108066558838,0.7043327569961548,0.7043327569961548,0.8548418283462524,0.7757823665936788,0.7043327569961548,0.95,,no_benchmark,False,False,0.99
dan_Latn-hye_Armn,dan_Latn,hye_Armn,jinaai/jina-embeddings-v3,0.990686623913518,457293,1,0.6886886954307556,0.2083820432424545,0.2759883642196655,0.7757775783538818,0.8238244652748108,0.0937745869159698,0.5234097838401794,p01,p10,0.5234097838401794,0.2759883642196655,0.5234097838401794,0.5234097838401794,0.7757775783538818,0.35767630338668827,0.35767630338668827,0.7767689675092697,0.7767689675092697,high,True,True,0.85
