direction_key,winner_model,winner_avg_score,num_sentences,rate_per_hour,est_hours
acm_Arab-nld_Latn,shaomutan_remedy-9b-22,0.933167137,152150,200000,0.8
acm_Arab-pol_Latn,qwen3-4b-instruct-2507,0.933136,154675,28000,5.5
acm_Arab-por_Latn,qwen3-4b-instruct-2507,0.93676,180233,28000,6.4
acm_Arab-ron_Latn,qwen3-4b-instruct-2507,0.946705,166235,28000,5.9
acm_Arab-rus_Cyrl,qwen3-4b-instruct-2507,0.941528,123049,28000,4.4
acm_Arab-slv_Latn,qwen3-4b-instruct-2507,0.929995,61178,28000,2.2
acm_Arab-spa_Latn,shaomutan_remedy-9b-22,0.940339728,196725,200000,1.0
acm_Arab-srp_Latn,metricx24,unknown,121185,1200000,0.1
acm_Arab-swe_Latn,shaomutan_remedy-9b-22,0.930359108,111658,200000,0.6
acm_Arab-tur_Latn,qwen3-4b-instruct-2507,0.93659,156167,28000,5.6
acm_Arab-vie_Latn,shaomutan_remedy-9b-22,0.935181164,82769,200000,0.4
aeb_Arab-bos_Latn,shaomutan_remedy-9b-22,0.922454798,56694,200000,0.3
aeb_Arab-bul_Cyrl,qwen3-4b-instruct-2507,0.932708,210376,28000,7.5
aeb_Arab-ces_Latn,qwen3-4b-instruct-2507,0.919746,237867,28000,8.5
aeb_Arab-cmn_Hani,metricx24,unknown,82935,1200000,0.1
aeb_Arab-dan_Latn,shaomutan_remedy-9b-22,0.941899375,191128,200000,1.0
aeb_Arab-deu_Latn,shaomutan_remedy-9b-22,0.939242007,273814,200000,1.4
aeb_Arab-ekk_Latn,metricx24,unknown,72883,1200000,0.1
aeb_Arab-ell_Grek,shaomutan_remedy-9b-22,0.944131087,259746,200000,1.3
aeb_Arab-eng_Latn,qwen3-4b-instruct-2507,0.947715,714584,28000,25.5
aeb_Arab-fas_Arab,metricx24,unknown,233541,1200000,0.2
aeb_Arab-fin_Latn,shaomutan_remedy-9b-22,0.933037377,231050,200000,1.2
aeb_Arab-fra_Latn,qwen3-4b-instruct-2507,0.931518,341825,28000,12.2
aeb_Arab-heb_Hebr,shaomutan_remedy-9b-22,0.93660451,226271,200000,1.1
aeb_Arab-hrv_Latn,shaomutan_remedy-9b-22,0.91870793,188833,200000,0.9
aeb_Arab-hun_Latn,shaomutan_remedy-9b-22,0.93428717,245388,200000,1.2
aeb_Arab-ind_Latn,shaomutan_remedy-9b-22,0.928135758,267637,200000,1.3
aeb_Arab-ita_Latn,shaomutan_remedy-9b-22,0.943572022,273928,200000,1.4
aeb_Arab-kor_Hang,shaomutan_remedy-9b-22,0.936583833,123990,200000,0.6
aeb_Arab-nld_Latn,shaomutan_remedy-9b-22,0.933122036,282710,200000,1.4
aeb_Arab-nob_Latn,shaomutan_remedy-9b-22,0.938437202,105147,200000,0.5
aeb_Arab-pol_Latn,shaomutan_remedy-9b-22,0.939495226,289873,200000,1.4
aeb_Arab-por_Latn,shaomutan_remedy-9b-22,0.92079666,353563,200000,1.8
aeb_Arab-ron_Latn,shaomutan_remedy-9b-22,0.925740932,312260,200000,1.6
aeb_Arab-rus_Cyrl,shaomutan_remedy-9b-22,0.93094597,246426,200000,1.2
aeb_Arab-slk_Latn,shaomutan_remedy-9b-22,0.924423434,69782,200000,0.3
aeb_Arab-slv_Latn,shaomutan_remedy-9b-22,0.920473443,112153,200000,0.6
aeb_Arab-spa_Latn,shaomutan_remedy-9b-22,0.923487961,404160,200000,2.0
aeb_Arab-srp_Latn,metricx24,unknown,206395,1200000,0.2
aeb_Arab-swe_Latn,shaomutan_remedy-9b-22,0.930750437,212280,200000,1.1
aeb_Arab-tha_Thai,shaomutan_remedy-9b-22,0.936028157,105118,200000,0.5
aeb_Arab-tur_Latn,shaomutan_remedy-9b-22,0.941907015,293796,200000,1.5
aeb_Arab-vie_Latn,shaomutan_remedy-9b-22,0.92117137,169236,200000,0.8
afr_Latn-afr_Latn,metricx24,unknown,82160,1200000,0.1
afr_Latn-als_Latn,qwen3-4b-instruct-2507,0.911991,849390,28000,30.3
afr_Latn-amh_Ethi,shaomutan_remedy-9b-22,0.898540809,2092226,200000,10.5
afr_Latn-ara_Arab,metricx24,unknown,1344325,1200000,1.1
afr_Latn-arb_Arab,qwen3-4b-instruct-2507,0.949617,1082364,28000,38.7
afr_Latn-arz_Arab,qwen3-4b-instruct-2507,0.901643,201896,28000,7.2
afr_Latn-asm_Beng,qwen3-4b-instruct-2507,0.903235,58418,28000,2.1
afr_Latn-ast_Latn,qwen3-4b-instruct-2507,0.878691,112797,28000,4.0
afr_Latn-aze_Latn,metricx24,unknown,119805,1200000,0.1
afr_Latn-azj_Latn,qwen3-4b-instruct-2507,0.855436,528158,28000,18.9
afr_Latn-bam_Latn,shaomutan_remedy-9b-22,0.478239724,104632,200000,0.5
afr_Latn-bel_Cyrl,shaomutan_remedy-9b-22,0.938027202,982267,200000,4.9
